Card ID,Title,Current Page,Proposed Area,Action,Flags,Owner,Card Type,Dataset,Last Modified,Age Days,Has Description,Locked
166119909,FloSports-igniteblack.png,Funnel Step CTR,Acquisition & Funnel,Merge,No dataset; Duplicate title,Karen O'Brien,document,,2026-06-02,15,Yes,No
166446267,"Matthew Murman's Notebook Aug 23, 2023",DEP - HockeyTV Migration Health,Partnerships,Retire,Stale (1+ yr); No description; No dataset; Locked; Noise page,Matthew Murman,Text,,2024-10-28,597,No,Yes
166983987,PBR Ride Pass - All Time,Dave S. Sandbox,Unmapped,Retire,Stale (1+ yr); No description; Noise page,Matthew Murman,kpi,PROD | Viewer Agg,2025-05-09,404,No,No
167390318,Q2,2025 Content Goals,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | 2025 Content Goals,2025-01-10,523,No,No
168196094,Plans Page Traffic Leading up to ADCC,2024 ADCC Traffic,Acquisition & Funnel,Document,No description,,kpi,DEP | Funnel Agg,2025-07-28,324,No,No
169118202,Social Media Followers with Rank,Overview,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,Social Media Followers with Rank,2023-07-12,1071,No,No
169177823,RAW Paused Data,Subscription Pausing,Subscriber Health,Document,No description,Matthew Murman,kpi,PROD | Pausing,2025-09-10,280,No,No
169461412,Most Signups by Week,MileSplit SMS Dash,Acquisition & Funnel,Review → Keep or Retire,Stale (1+ yr); No description,Daniel Everett,kpi,PROD | Attribution,2024-06-29,718,No,No
169733138,PROD | Viewer Agg,Charles C. Sandbox,Unmapped,Retire,No description; Duplicate title; Noise page,Charles Cooper,kpi,PROD | Viewer Agg,2026-02-26,111,No,No
169958719,FloBikes Video Views,DEP - Tour de France Traffic,Content & Viewership,Retire,No description; Noise page,,kpi,PROD | Content Agg,2025-07-28,324,No,No
169981681,Event Attribution for TdF Events June/July 2024,DEP - Tour de France Traffic,Acquisition & Funnel,Retire,Noise page,,kpi,PROD | Attribution,2025-07-28,324,Yes,No
170251963,RAW_ios_reader_app - JB,Joe's Cards,Product & Tech,Retire,Stale (1+ yr); No description; Noise page,,kpi,RAW_ios_reader_app,2024-10-24,601,No,No
170363352,Channel Attribution Signups,Murmanz,Marketing,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | Marketing Channels,2025-06-19,363,No,No
170644573,VODs Published by Year by Vertical,2024 VOD Value Explorer,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | Content Agg,2025-04-21,422,No,No
170820904,Produced Articles - Unique Views,Total Viewership,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Content Agg,2025-05-28,385,No,No
171133401,Upcoming FCST Signups and Viewership by Contract - Next 2 Months,WIP - 2024 Landing Page,Acquisition & Funnel,Retire,Very stale (2+ yrs); No description; Noise page,Charles Cooper,kpi,PROD | Event Agg,2024-06-12,735,No,No
171140066,Build Times,Data Engineering,Domo Admin,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,DEP_build_agg,2024-10-28,597,No,Yes
171359810,"Matthew Murman's Notebook May 5, 2025",DEP - Onboarding - First 30 Days Activity,Product & Tech,Retire,Stale (1+ yr); No description; No dataset; Duplicate title; Noise page,Matthew Murman,Text,,2025-05-05,408,No,No
172622108,Total Impressions,Live to Social Event Viewership,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,Live to Social Streams with Event Data,2024-02-13,855,No,No
173022657,Event Start Date vs Payment Date - Filtered by Event Start Date,Signups,Acquisition & Funnel,Keep,,Matthew Murman,kpi,PROD | Attribution,2026-05-13,35,Yes,No
173540419,Owned Social Signups YoY,"DEP - Signups from Organic Search, Social, Direct",Acquisition & Funnel,Retire,Stale (1+ yr); No description; Noise page,Charles Cooper,kpi,DEP | Funnel Agg,2025-03-11,463,No,No
174490028,2028 Total Pipeline by Stage,Weighted Pipeline,Revenue & Finance,Merge,No description; Duplicate title,Emi Boles,kpi,RAW_contract_forecast_sot,2026-02-19,118,No,No
175081847,Number of Events Per Season,College Conference Engagement Review,Audience & Traffic,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Event Agg,2024-02-07,861,No,No
175532184,Content Pre Funnel Visits YoY,Produced Content Funnel Analysis,Audience & Traffic,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,DEP |Content Funnel,2024-06-29,718,No,No
177228856,PROD | SLT Price Change Metrics,Weekly SLT Metrics - Price Change (Pay/Plans Page),Executive,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | SLT Price Change - Pay/Plans Page,2026-02-13,124,No,No
177318810,Event Rights,Month End Reporting,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,PROD | Netsuite - Forecasts vs Actuals,2024-10-28,597,No,Yes
177820956,Event Agg - Viewership vs Viewership (No Previews),DEP - Viewership / Preview Plays Diagnosis,Content & Viewership,Retire,No description; Noise page,Matthew Murman,kpi,PROD | Event Agg,2026-01-28,140,No,No
177962801,Content Minutes Streamed - By View Date,Overview,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Locked; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2023-06-19,1094,No,Yes
178987969,DAU 30 days after Saturday of Tour de France,DEP - Tour de France Traffic,Audience & Traffic,Retire,No description; Noise page,,kpi,"PROD | DAU, WAU, MAU",2025-07-28,324,No,No
179919131,Payments by Country,Overview,Unmapped,Review → Keep or Retire,Stale (1+ yr); No description,Drew Dalton,kpi,PROD | Payments,2025-05-07,406,No,No
180700826,"Matthew Murman's Notebook Jun 25, 2025",Funnel v3,Acquisition & Funnel,Document,No description; No dataset,Matthew Murman,Text,,2025-06-25,357,No,No
181183248,# of Events sliced by Tier on Weekly,LJ's FSE Scheduling Tool,Unmapped,Retire,Stale (1+ yr); Noise page,LJ Helbig,kpi,PROD | Event Agg,2024-08-29,657,Yes,No
181206235,RIghts Planning - Output,Operations Planning,Operations,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,PROD | Event Agg - Salesforce,2024-10-28,597,No,Yes
181246113,Total Cash vs Forecast,DEP - Exec Dashboard - 2024,Revenue & Finance,Retire,Stale (1+ yr); No description; Locked; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Forecast Agg - 2024,2024-10-28,597,No,Yes
181474367,Filter By Subscription Vertical,M1 (Cash),Subscriber Health,Merge,No description; Duplicate title,Karen O'Brien,kpi,PROD | Subscription Period Agg,2026-05-07,41,No,No
181484873,Forecast by Rights Forecast Category,Non-Booked + Forecast by Rights Forecast Category,Revenue & Finance,Document,No description,Charles Cooper,kpi,RAW_contract_forecast_sot,2026-02-04,133,No,No
181574596,Forecast Accuracy Last 7 Days,Attribution Forecast Dashboard,Revenue & Finance,Review → Retire,Very stale (2+ yrs); No description,Daniel Everett,kpi,PROD | Event Agg,2023-05-30,1114,No,No
182234803,DataSets to Fix by Connector,DEP - DomoStats DataSets and DataFlows App,Domo Admin,Retire,Very stale (2+ yrs); Duplicate title; Noise page,,kpi,DomoStats - DataSets with Owners,2023-07-20,1063,Yes,No
182606006,Big Ole VOD Table,What's Going on with VODs,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2024-06-27,720,No,No
182690838,CS Metrics - by,Customer Service,Customer Success,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,RAW_salesforce_cases,2024-10-28,597,No,Yes
183423679,Wallet Type Breakdown,Signups,Acquisition & Funnel,Review → Keep or Retire,Stale (1+ yr),Matthew Murman,kpi,PROD | Attribution,2025-01-27,506,Yes,No
183556283,2026 Renewal Rate by Cohort,M1,Subscriber Health,Merge,No description; Duplicate title,Karen O'Brien,kpi,PROD | Subscription Period Agg,2026-05-29,19,No,No
183775153,2024 Replay VODS: This Year,Shared,Content & Viewership,Triage,Stale (1+ yr); No description; Shared/root,Charles Cooper,kpi,PROD | Content Agg,2024-12-12,552,No,No
184210840,"Charles Cooper's Notebook Jul 19, 2024",Total Viewership,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Duplicate title,Charles Cooper,Text,,2024-07-19,698,No,No
184539660,"Matthew Murman's Notebook May 23, 2023",Orphan,Unmapped,Retire,Stale (1+ yr); No description; No dataset; Locked; Noise page; Orphan,Matthew Murman,Text,,2025-02-03,499,No,Yes
184544642,"Charles Cooper's Notebook Oct 23, 2023",Social Media - Profile Performance Report,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description; No dataset,Charles Cooper,Text,,2023-10-23,968,No,No
186016373,Duplicate of FloCheer Articles and Rankings Unique Views - Schedule Related Pages Only,DEP - Tour de France Traffic,Social & Editorial,Retire,No description; Noise page,,kpi,PROD | Content Agg,2025-07-28,324,No,No
186078948,FloRacing Views by Platform,FAST Live Event Viewership,Content & Viewership,Document,No description,Trevor Smith,kpi,2026 FAST Viewership by Event Pivoted for Charts,2026-06-07,10,No,No
186177760,MS Uniques by State,Overview,Unmapped,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,DEP_MS Uniques by State,2024-05-01,777,No,No
186519090,Q3,2026 Content Goals,Content & Viewership,Merge,No description; Duplicate title,Charles Cooper,kpi,2026 Content Goals,2026-02-04,133,No,No
186653499,Orphaned Content,DEP - DomoStats DataSets and DataFlows App,Domo Admin,Retire,Very stale (2+ yrs); Duplicate title; Noise page,,kpi,DomoStats - DataFlows DataSets People and Health,2023-07-20,1063,Yes,No
187369618,Contract Efficiency ++,Overview,Unmapped,Merge,No description; Duplicate title,Andy Wager,kpi,PROD | Post Mortem Agg,2026-01-26,142,No,No
187735761,by,DEP - Strategy - Schedule Density,Unmapped,Retire,Stale (1+ yr); No description; Locked; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Event Agg - Salesforce,2024-06-29,718,No,Yes
188079465,Facebook Events,Live to Social Event Viewership,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,Live to Social Streams with Event Data,2024-02-13,855,No,No
188228629,Active Subs Over Time,Music OKR,Subscriber Health,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Matthew Murman,kpi,PROD | Active Subscriptions,2025-03-10,464,No,No
188297062,FloRadio Payments,Overview,Unmapped,Merge,No description; Duplicate title,Charles Cooper,kpi,PROD | Payments,2025-10-21,239,No,No
188579628,Select Sport,College Viewership for RAQ,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,raw_college_viewership,2025-02-04,498,No,No
189145554,Duplicate of FloCheer Video Views - Unique Views,DEP - Tour de France Traffic,Content & Viewership,Retire,No description; Noise page,,kpi,PROD | Content Agg,2025-07-28,324,No,No
189200279,Cash Realization vs Plan,DEP - Murman's Forecasting,Revenue & Finance,Retire,Very stale (2+ yrs); No description; Locked; Noise page,Matthew Murman,kpi,PROD | Event Agg - Salesforce,2023-05-17,1127,No,Yes
189569205,"Matthew Williams's Notebook Apr 15, 2026",WIP Editorial Revenue / Costs,Revenue & Finance,Retire,No description; No dataset; Duplicate title; Noise page,Matthew Williams,Text,,2026-06-16,1,No,No
190291906,Viewership - Dec,2024 Programming,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD |2024 Programming,2025-01-16,517,No,No
190478928,RAW_fact_activity,Overview,Unmapped,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Fact Activity,2024-02-14,854,No,No
190883518,FloSports-igniteblack.png,Y1,Subscriber Health,Merge,No dataset; Duplicate title,Karen O'Brien,document,,2026-05-01,47,Yes,No
191648697,M1 Renewals,M1,Subscriber Health,Merge,Duplicate title,Karen O'Brien,kpi,PROD | Subscription Period Agg,2026-05-29,19,Yes,No
191733016,Funnel Entry Rate,Funnel v3,Acquisition & Funnel,Review → Keep or Retire,Stale (1+ yr),Matthew Murman,kpi,PROD | Funnel V3,2025-06-13,369,Yes,No
192099092,"Matthew Murman's Notebook Aug 2, 2023",DEP - Exec Dashboard - 2024,Executive,Retire,Stale (1+ yr); No description; No dataset; Locked; Duplicate title; Noise page,Matthew Murman,Text,,2024-10-28,597,No,Yes
192112921,PROD | Salesforce Field History,Orphan,Unmapped,Retire,Very stale (2+ yrs); No description; Duplicate title; Noise page; Orphan,Daniel Everett,kpi,DEP | Salesforce Field History,2023-07-25,1058,No,No
192933188,Channel Attribution Signups (%),Murmanz,Marketing,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Matthew Murman,kpi,PROD | Marketing Channels,2025-06-17,365,No,No
193288321,Varsity Signups By Calendar Year,2022-23 Varsity Year End Analysis,Acquisition & Funnel,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Attribution,2024-03-14,825,No,No
193451635,How would you rate your overall satisfaction with the Customer Support Agent?,New Agent CSAT Survey Nov 2022,Customer Success,Merge,No description; Duplicate title,,kpi,FED |Adhoc Qualtrics Surveys,2025-07-28,324,No,No
193492132,Rights Forecast Close Date - Oct '25,Monthly KPI Sheet,Revenue & Finance,Document,No description,Charles Cooper,kpi,RAW_contract_forecast_log_flat,2025-11-12,217,No,No
193632647,"Rights Contract: Event Minutes, Impressions, Revenue, and Duration",Ad Sales Event Report,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | Event Agg,2024-10-24,601,No,No
193822522,'- % to Signup Forecast,College Sub KPIs,Revenue & Finance,Merge,No description; Duplicate title,Charles Cooper,kpi,PROD | Forecast Agg - 2026 - SLT,2026-04-01,77,No,No
193827436,Live Playtime Minutes,FSM - Yesterday's Metrics,Operations,Review → Retire,Very stale (2+ yrs); Duplicate title,LJ Helbig,kpi,PROD | Stream Agg,2024-06-05,742,Yes,No
194821917,"Charles Cooper's Notebook Jul 19, 2024",Total Viewership,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Duplicate title,Charles Cooper,Text,,2024-07-19,698,No,No
194823209,active subs with plan,Shared,Subscriber Health,Triage,Very stale (2+ yrs); No description; Shared/root,Charles Cooper,kpi,"PROD | Monthly Plan, Goals - 2023",2023-09-07,1014,No,No
194887943,Social Engagements,2025 FloFilms and Original Series,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,Social Media Post Metrics,2025-01-31,502,No,No
194971968,Completed Terms within Last 365 Days,DEP - Rights Portfolio Dashboard,Revenue & Finance,Retire,Stale (1+ yr); No description; Noise page,Daniel Everett,kpi,PROD | Rights Agg - RAQ,2024-10-28,597,No,No
194984296,How would you rate the agent's understanding of your issue(s)?,Trackwrestling Agent CSAT Survey,Customer Success,Merge,No description; Duplicate title,,kpi,FED | Qualtrics v2,2025-11-05,224,No,No
195118255,Top Performing Written Content -- Yesterday,Overview,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2023-07-19,1064,No,No
195901112,ECA by Recognition Month,ECA Deep Dive,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description,Matthew Murman,kpi,PROD | ECA Agg,2025-05-02,411,No,No
195903293,Yearly -- Estimated Incrementality,Weekly SLT Metrics - Price Change (Renewals),Subscriber Health,Merge,No description; Duplicate title,Charles Cooper,kpi,PROD | Pricing Changes Renewals,2026-02-23,114,No,No
195985666,Has Referrer,General Traffic,Audience & Traffic,Document,No description,Matthew Murman,kpi,PROD | Visits Web,2026-01-21,147,No,No
196279298,Vertical Filter,FloFilms Deep Dive,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2023-12-05,925,No,No
197072074,"Matthew Murman's Notebook Jun 6, 2024",Email Marketing,Marketing,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Locked,Matthew Murman,Text,,2024-10-28,597,No,Yes
198059745,"Karen O&#39;Brien's Notebook Aug 8, 2024",Marketing Paid Media,Marketing,Review → Keep or Retire,Stale (1+ yr); No description; No dataset,Karen O'Brien,Text,,2024-08-09,677,No,No
198370206,Refund Churned,Overview,Subscriber Health,Review → Keep or Retire,Stale (1+ yr); Locked,Matthew Murman,kpi,PROD | Subscription Period Agg,2024-10-28,597,Yes,Yes
198574068,"Monthly x Sub Type, ACV & Plan Mix by Vertical X Contract/Event Names",DEP - Sergio's Sandbox,Unmapped,Retire,Very stale (2+ yrs); Noise page,,kpi,PROD | Attribution,2024-04-01,807,Yes,No
198684572,Video Views - Facebook,Social Media - Profile Performance Report,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,RAW Sprout Social,2023-10-23,968,No,No
198725105,Event Level Adjustments (In Current Portfolio Expectations; Diff in Event Level FCST),Intra Month and Year Pacing,Unmapped,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,ytd_unallocated,2025-04-01,442,No,No
198998461,"Matthew Murman's Notebook Jun 28, 2024",Product Analytics,Product & Tech,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Locked; Duplicate title,Matthew Murman,Text,,2024-10-31,594,No,Yes
199195261,Signup Page CVR - YoY % Change by Month - Bar,Shared,Acquisition & Funnel,Triage,No description; Shared/root,Matthew Williams,kpi,PROD | Funnel V3,2026-06-04,13,No,No
199240340,Gross Live Viewers,Total Viewership,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | Event Agg,2024-07-19,698,No,No
199812062,Duplicate of ACV,Vertical Performance,Audience & Traffic,Review → Keep or Retire,Stale (1+ yr); No description; Locked; Duplicate title,Matthew Murman,kpi,PROD | Attribution,2024-10-28,597,No,Yes
199923348,Flo Owned Account,Current Social Media Followers,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,Social Media Followers with Rank,2024-09-05,650,No,No
199940061,"Matthew Murman's Notebook Oct 15, 2024",FloCollege Launch,Unmapped,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Locked,Matthew Murman,Text,,2024-11-12,582,No,Yes
200621334,'- New/Reactivated Cash,Exec Dashboard - 2026,Revenue & Finance,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | Forecast Agg - 2026 - SLT,2026-02-06,131,No,No
200655337,M1 Renewal Rate,DEP - Exec Dashboard - 2025,Subscriber Health,Retire,No description; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Forecast Agg - 2026 - CEO,2026-02-04,133,No,No
200962434,Signup Page Traffic Leading up to ADCC,2024 ADCC Traffic,Acquisition & Funnel,Document,No description,,kpi,DEP | Funnel Agg,2025-07-28,324,No,No
201247733,"Charles Boehmig's Notebook Aug 20, 2024",Customer Service Verbatims from BI Surveys,Customer Success,Review → Keep or Retire,Stale (1+ yr); No description; No dataset,Charles Boehmig,Text,,2024-08-22,664,No,No
201785807,"Matthew Williams's Notebook Jun 4, 2025",VOD,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Duplicate title,Matthew Williams,Text,,2025-06-11,371,No,No
202160042,2024 Attribution Forecast (Need '24),Orphan,Revenue & Finance,Retire,Very stale (2+ yrs); No description; Noise page; Orphan,Adair Lyden,kpi,PROD | RAQ Monthly Budget Salesforce,2023-03-02,1203,No,No
202572552,Content Contribution Explorer,Shared,Content & Viewership,Triage,Stale (1+ yr); No description; Locked; Shared/root,,kpi,DEP_content_contribution_user_agg,2025-04-21,422,No,Yes
202962913,Governing Body Tag,Site Content Pacing,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Content Agg,2024-10-22,603,No,No
203122198,Incremental % Lift,Weekly SLT Metrics - Price Change (Signup Page),Executive,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | SLT Price Change - Signup Page,2026-02-10,127,No,No
203369370,M2 Renewal Rate - Forecast,DEP - Exec Dashboard - 2025,Revenue & Finance,Retire,No description; Duplicate title; Noise page,Matthew Murman,kpi,PROD | Forecast Agg - 2026 - CEO,2026-02-04,133,No,No
204265100,Duplicate of Signups,Vertical Performance,Acquisition & Funnel,Review → Keep or Retire,Stale (1+ yr); No description; Locked; Duplicate title,Matthew Murman,kpi,PROD | Attribution,2024-10-28,597,No,Yes
204323703,Monthly Active Users by Month,DEP - WAU / MAU,Audience & Traffic,Retire,No description; Noise page,Matthew Murman,kpi,MAU and WAU,2025-08-11,310,No,No
205064277,YouTube Channel - Engagement Rate by Week,2026 Studio Shows Goal,Content & Viewership,Document,No description,Charles Cooper,kpi,RAW Sprout Social,2025-06-27,355,No,No
205255542,Viewership Forecast,UAA,Revenue & Finance,Merge,No description; Duplicate title,Kevin Sander,kpi,PROD | Event Agg,2026-02-13,124,No,No
205562601,Monthly STC-7 rate,Overview,Subscriber Health,Merge,Duplicate title,Karen O'Brien,kpi,PROD | Attribution,2026-05-05,43,Yes,No
205635881,"Matthew Murman's Notebook Mar 28, 2023",DEP - Load Management,Operations,Retire,No description; No dataset; Locked; Duplicate title; Noise page,Matthew Murman,Text,,2025-10-28,232,No,Yes
205663051,"Matthew Murman's Notebook Dec 19, 2022",Orphan,Unmapped,Retire,Very stale (2+ yrs); No description; No dataset; Locked; Noise page; Orphan,Matthew Murman,Text,,2023-03-06,1199,No,Yes
206304457,INT | Social Media Followers EOM,Overview,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,INT | Social Media Followers EOM,2024-12-05,559,No,No
206371218,Content by Rights Contract Name,Football Content,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Content Agg,2023-12-17,913,No,No
206406062,What's Counting Towards Lagniappe?,2025 FloFilms and Original Series,Product & Tech,Review → Keep or Retire,Stale (1+ yr); Duplicate title,Charles Cooper,kpi,PROD | FloFilms,2025-03-19,455,Yes,No
206714129,'- Total Cash vs Forecast,Exec Dashboard - 2026,Revenue & Finance,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | Forecast Agg - 2026 - SLT,2026-02-06,131,No,No
206735468,Articles and Rankings Publish #:,Content,Social & Editorial,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Content Agg,2024-04-12,796,No,No
206898446,KPI Doc - Retention,Joe's Cards,Acquisition & Funnel,Retire,Stale (1+ yr); No description; Noise page,,kpi,INT | KPI Doc - Retention and Signups,2024-10-24,601,No,No
207421297,"Top 10 Events by Viewership (Note: Due to data latency, Viewership may increase for yesterday's events)",WIP - 2024 Landing Page,Content & Viewership,Retire,Stale (1+ yr); No description; Duplicate title; Noise page,Charles Cooper,kpi,PROD | Event Agg,2024-08-26,660,No,No
207499051,2029 Pipeline Deals,Weighted Pipeline,Revenue & Finance,Document,No description,Emi Boles,kpi,RAW_contract_forecast_sot,2026-02-27,110,No,No
207652977,Total Engagement,2026 Studio Shows Goal,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Studio Show Goals,2025-02-04,498,No,No
207847168,VOD Mins,Tentpole Event Comparisons,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Content Agg,2024-09-06,649,No,No
208306284,"Charles Cooper's Notebook May 31, 2023",2022-23 Varsity Year End Analysis,Unmapped,Review → Retire,Very stale (2+ yrs); No description; No dataset; Locked,Charles Cooper,Text,,2023-06-19,1094,No,Yes
208832763,Total Minutes Watched:,2024 FloFilms and Original Series,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Charles Cooper,kpi,PROD | FloFilms,2024-04-04,804,No,No
209391539,SOT Log,SOT Log,Revenue & Finance,Review → Keep or Retire,Stale (1+ yr); No description,Matthew Murman,kpi,RAW_contract_forecast_log_flat,2025-01-13,520,No,No
209855565,Duplicate of ⤵️ Signups by Subscription Vertical,Milesplit Signups,Acquisition & Funnel,Review → Retire,Very stale (2+ yrs),David Scott,kpi,PROD | Attribution,2024-05-14,764,Yes,No
210728515,Ad Sales by Conference Overview,Emi's Sandbox,Ad Sales,Retire,No description; Noise page,Emi Boles,kpi,PROD | Event Agg,2026-03-20,89,No,No
210846863,Rights Detail - Copy that I can edit,DEP - test,Content & Viewership,Retire,Stale (1+ yr); No description; Noise page,,kpi,PROD | Event Agg,2024-09-04,651,No,No
212549637,Mins Streamed by Day by Platform,Platform FAST Reporting,Product & Tech,Document,No description,Charles Cooper,kpi,PROD | 2026 FAST Reporting,2026-02-24,113,No,No
212843012,Cohort Survival Rate - Monthly - Contract,Overview,Subscriber Health,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,PROD | Subscription Period Agg,2024-10-28,597,No,Yes
213874399,YoY Change by Week,MileSplit SMS Dash,Unmapped,Merge,No description; Duplicate title,Daniel Everett,kpi,PROD | Attribution,2026-01-22,146,No,No
214090123,Minutes Streamed by Platform - YTD,Content,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description,Charles Cooper,kpi,PROD | Content Agg,2024-04-12,796,No,No
214356509,"Monee, IL Payments",Accounting Sales Data Pulls,Revenue & Finance,Document,No description,Charles Cooper,kpi,PROD | Payments,2026-04-16,62,No,No
214382269,Posts Published -,WIP - 2024 Landing Page,Content & Viewership,Retire,Very stale (2+ yrs); No description; Noise page,Charles Cooper,kpi,RAW Sprout Social,2024-06-12,735,No,No
214933794,"Matthew Williams's Notebook Jun 11, 2025",VOD,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; No dataset; Duplicate title,Matthew Williams,Text,,2025-06-12,370,No,No
215012143,Top,DEP - Load Management,Operations,Retire,Very stale (2+ yrs); No description; Locked; Noise page,Matthew Murman,kpi,PROD | Load Management,2023-05-17,1127,No,Yes
215113901,App Adoption,FloRacing Welcome Experience,Product & Tech,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,DEP_FloRacing Onboarding Detail,2025-04-21,422,No,No
215702456,"Charles Cooper's Notebook Dec 27, 2023",Live to Social Event Viewership,Content & Viewership,Review → Retire,Very stale (2+ yrs); No description; No dataset,Charles Cooper,Text,,2023-12-27,903,No,No
215793050,Ad Metrics by Live Event - Top Events,Ad Sales Daily Report,Ad Sales,Document,No description,Charles Cooper,kpi,PROD | Event Agg,2026-01-09,159,No,No
215931095,Incremental Lift,Weekly SLT Metrics - Price Change (Signup Page),Executive,Merge,No description; Duplicate title,Matthew Murman,kpi,PROD | SLT Price Change - Signup Page,2026-02-10,127,No,No
216445136,Publish # MTD,What's Going on with VODs,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description; Duplicate title,Charles Cooper,kpi,PROD | Content Agg,2024-06-27,720,No,No
217012161,"Ghazal Qadri's Notebook Nov 13, 2024",Subscription Emails,Subscriber Health,Document,No description; No dataset,,Text,,2025-07-28,324,No,No
217101305,Plan Summary,Weekly Metrics Presentation,Executive,Review → Retire,Very stale (2+ yrs); No description; Locked,Matthew Murman,kpi,"PROD | Monthly Plan, Goals - 2023",2023-06-05,1108,No,Yes
217424303,Season-End Closeout Satisfaction,Global Partner Survey Dashboard (PSAT),Partnerships,Review → Keep or Retire,Stale (1+ yr),Charles Boehmig,kpi,FED | PSAT Survey Data,2025-06-03,379,Yes,No
217474802,2021 vs 2022 Acquired Subs,Shared,Unmapped,Triage,Very stale (2+ yrs); No description; Locked; Shared/root,,kpi,PROD | Attribution,2023-05-15,1129,No,Yes
217735907,Avg. Bitrate - VOD,VOD,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,Matthew Williams,kpi,Avg. Bitrate - VOD,2025-06-11,371,No,No
